筛选项名称,业务归属,公共分摊规则
null_compose,公共,时长
community_video_clips_edit,视频主APP-短视频产品,
page_creator_dub,视频主APP-短视频产品,
page_immersive_doubletab,视频主APP-短视频产品,
10200002,公共,时长
10200012,公共,时长
10200016,公共,时长
20100001,公共,时长
base_desc,视频主APP-直播,时长比例
check_page_app_publicity_page,公共,时长
check_page_CaptionEditActivity,公共,时长
check_page_HollywoodH5Activity,付费,
check_page_image_preview_activity,付费,
check_page_LocalVideoPlayerActivity,付费,
check_page_msg_detail,视频主APP-社区产品,
check_page_page_home_channel,公共,时长
check_page_QLDetailEpisodesListController,视频主APP-长视频产品,
check_page_QLFeedDetailViewController,视频主APP-社区产品,
check_page_QLHollywoodController_(null),付费,
check_page_QLHollywoodController_100137,付费,
check_page_QLIAPDetailViewController,付费,
check_page_QLImageBrowser,公共,时长
check_page_QLOpenSourceWebViewController,视频主APP-搜索产品,
check_page_SearchPagerActivity,视频主APP-搜索产品,
check_page_SettingAboutActivity,公共,时长
check_page_StarHomePagerActivity,视频主APP-社区产品,
check_page_sub_QLIAPDetailViewController,视频主APP-社区产品,
check_page_user_collect_video_page,视频主APP-长视频产品,
check_page_VideoListExhibitActivity,视频主APP-长视频产品,
cid_page,视频主APP-长视频产品,
cms_second_page,视频主APP-长视频产品,
cms_second_page_app,视频主APP-长视频产品,
creator_center_header_page_nav,视频主APP-短视频产品,
fold_list,视频主APP-长视频产品,
hot_play_today,视频主APP-长视频产品,
knowledge_bundle_page,视频主APP-社区产品,
knowledge_rank_detail,视频主APP-社区产品,
live_effects_manage,视频主APP-直播,
live_effects_shop,视频主APP-直播,
nba_community,视频主APP-社区产品,
nba_match_stats_recall,视频主APP-直播,
nba_match_text_live,视频主APP-直播,
nba_screen_documentary,视频主APP-长视频产品,
nba_screen_program,视频主APP-长视频产品,
none_QLWeeklyRecmdControllerViewController,视频主APP-长视频产品,
page_ad_landing,公共,时长
page_ad_landing_mix,公共,时长
page_ad_reward,公共,时长
page_ad_splash,公共,时长
page_add_list,视频主APP-长视频产品,
page_album_create,视频主APP-长视频产品,
page_album_detail,视频主APP-中视频产品,
page_album_manage,视频主APP-中视频产品,
page_article_to_video,公共,时长
page_beta_test,公共,时长
page_blive,视频主APP-直播,
page_blive_tab,视频主APP-直播,
page_broadcaster_live_buddylist,公共,时长
page_broadcaster_start_to_broadcaste,公共,时长
page_card_setting,视频主APP-直播,
page_channel_mgmt,视频主APP-长视频产品,
page_channel_sec_album,视频主APP-长视频产品,
page_channel_sec_binge_watching,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_comment,视频主APP-社区产品,
page_community_personal,视频主APP-社区产品,
page_cover_adjust_cover,视频主APP-短视频产品,
page_cp_recommend_sec,视频主APP-短视频产品,
page_creator_recommend,视频主APP-短视频产品,
page_creator_subscribe,视频主APP-短视频产品,
page_creator_subscribed,视频主APP-短视频产品,
page_data_manager,视频主APP-短视频产品,
page_detail,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_middel_video,视频主APP-中视频产品,
page_detail_discuss_h5,视频主APP-长视频产品,
page_detail_sec_download,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_download_clarity,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_float_poster,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_h5,视频主APP-长视频产品,
page_detail_sec_hidden_mark,视频主APP-社区产品,
page_detail_sec_intro,视频主APP-长视频产品/视频主APP-中视频产品,时长比例
page_detail_sec_operate,视频主APP-长视频产品,
page_detail_sec_speed,视频主APP-长视频产品,
page_detail_sec_throwscreen,视频主APP-长视频产品/视频主APP-中视频产品/视频主APP-直播,时长比例
page_detail_sec_timingclose,视频主APP-长视频产品,
page_discuss,视频主APP-社区产品,
page_discuss_sec_topic,视频主APP-社区产品,
page_doki_benifits,视频主APP-社区产品,
page_doki_default,视频主APP-社区产品,
page_doki_detail_emoji,视频主APP-社区产品,
page_doki_detail_wallpaper,视频主APP-社区产品,
page_doki_dokilist,视频主APP-社区产品,
page_doki_fanclub,视频主APP-社区产品,
page_doki_fanclub_tophub,视频主APP-社区产品,
page_doki_fine,视频主APP-社区产品,
page_doki_first_search,视频主APP-社区产品,
page_doki_head_module,视频主APP-社区产品,
page_doki_honors_awards_sec,视频主APP-社区产品,
page_doki_hottopic,视频主APP-社区产品,
page_doki_new,视频主APP-社区产品,
page_doki_new_comment,视频主APP-社区产品,
page_doki_new_update,视频主APP-社区产品,
page_doki_plaza,视频主APP-社区产品,
page_doki_recom,视频主APP-社区产品,
page_doki_search_result,视频主APP-社区产品,
page_doki_sec_emoticon,视频主APP-社区产品,
page_doki_sec_video,视频主APP-社区产品,
page_doki_sec_wallpaper,视频主APP-社区产品,
page_doki_second_topic,视频主APP-社区产品,
page_doki_smart_search,视频主APP-社区产品,
page_doki_star,视频主APP-社区产品,
page_doki_startalk,视频主APP-社区产品,
page_doki_supp_zone,视频主APP-社区产品,
page_doki_topic_hotlist,视频主APP-社区产品,
page_doki_trip_zone,视频主APP-社区产品,
page_doki_video,视频主APP-社区产品,
page_doki_video_post,视频主APP-社区产品,
page_doki_works,视频主APP-社区产品,
page_dress_detail,公共,时长
page_dressup_detail,视频主APP-中视频产品,
page_drumstick_rank,视频主APP-中视频产品,
page_ecommerce,视频主APP-直播,
page_edit_second,公共,时长
page_fans_list,视频主APP-社区产品,
page_feed_detail,视频主APP-社区产品,
page_first_mylist,视频主APP-社区产品,
