域名,PC端,web端,客厅产品,客户端
vfiles.gtimg.cn,0.1015406890,0.3802699048,0.0006253357,0.5175640705
puui.qpic.cn,0.1990165042,0.1277780875,0.0521591355,0.6210462728
image.video.qpic.cn,0.2753394830,0.6143646331,0.0003965425,0.1098993415
puep.qpic.cn,0.0110584698,0.9669498050,0.0010658622,0.0209258630
vc.qpic.cn,0.1044823225,0.4469358148,0.0006431840,0.4479386787
vmmp.qpic.cn,0.0438815263,0.0036875894,0.2792770285,0.6731538558
vpic.cms.qq.com,0.4559199146,0.3334079898,0.0018077660,0.2088643296
puap.qpic.cn,0.0028812320,0.9918701135,0.0005632870,0.0046853674
tvpic.gtimg.cn,0.0091313061,0.7406841705,0.0001682489,0.2500162744
ugd.gtimg.com,0.0000000000,0.1070012714,0.1940769799,0.6989217487
